timestamp,request_rate,vus,cpu_mcpu,memory_mib,replicas,hpa_desired_replicas,avg_response_ms,p95_response_ms,failed_req_rate
2026-08-29 02:30:16.711173,1.4445333333333332,8.0,2.4566750000019515,42.53515625,1.0,1.0,3.3207104295514664,9.22462734846384,0.0
2026-08-29 02:30:26.801760,3.176857823775478,12.0,7.254133389945211,41.29296875,1.0,1.0,3.6513262062610514,9.0679910859764,0.0
2026-08-29 02:30:35.580926,5.654941694860079,16.0,16.44380864631494,41.02734375,1.0,1.0,3.093034359310294,7.631266393227412,0.0
2026-08-29 02:30:45.672188,8.750802065285788,20.0,14.501099999998248,41.02734375,1.0,1.0,2.7684777297102854,6.284913051233722,0.0
2026-08-29 02:30:55.776184,12.573387986001247,24.0,27.440454860362447,42.24609375,1.0,1.0,2.5254140228435893,4.968993944891814,0.0
2026-08-29 02:31:04.533854,17.10409988081742,29.0,21.692201956699517,42.24609375,1.0,1.0,2.2815963298630315,4.909054663648073,0.0
2026-08-29 02:31:14.639619,21.55751286299817,32.0,32.14671288478147,42.953125,1.0,1.0,2.116465132686083,4.812295081967212,0.0
2026-08-29 02:31:24.751705,25.883419960233017,37.0,37.803750074884846,42.81640625,1.0,1.0,1.972811633423179,4.778983050847457,0.0
2026-08-29 02:31:33.509820,30.041346103522272,40.0,37.803750074884846,42.81640625,1.0,1.0,1.912914319396044,4.772170361726954,0.0
2026-08-29 02:31:43.597768,34.34981333519417,45.0,46.90951025909714,43.34375,1.0,1.0,1.8914269664804384,4.766946992864424,0.0
2026-08-29 02:31:53.693628,38.624587847385776,49.0,48.26433605084964,43.0546875,1.0,1.0,1.8545675532971897,4.767225747960109,0.0
2026-08-29 02:32:03.793855,42.34788686772252,58.0,38.040763662026784,43.0546875,1.0,1.0,1.819020826892097,4.769199676637024,0.0
2026-08-29 02:32:12.525245,49.36828144632137,69.0,43.01649291606103,42.609375,1.0,1.0,1.8029225440084715,4.768541518807664,0.0
2026-08-29 02:32:22.613329,56.48721752028619,80.0,61.20453709380855,43.1953125,1.0,1.0,1.8258748767377064,4.769153225806452,0.0
2026-08-29 02:32:32.706350,67.50811988652715,91.0,50.74836937043203,43.1953125,1.0,1.0,1.793805503349569,4.771795656163964,0.0
